YEAR,APPLICATION_ID,ADMINISTERING_IC,ACTIVITY,TOTAL_COST,PROJECT_TITLE,ABSTRACT_TEXT,MATCHED_TERMS
2012,8303985,CA,R21,264515.0,Genome-wide Identification of DNA Methylation Biomarkers in AML,"DESCRIPTION (provided by applicant): DNA hypomethylating agents (HMA) promise to significantly advance the treatment of acute myelogenous leukemia (AML). The drugs are well tolerated in older patients who represent both the majority of adult AML, and those least well served by traditional, intensive chemotherapy. The dose and delivery schedule of HMAs strongly dictate biological activity but the pharmacodynamics of these agents is poorly understood. The absence of good biomarkers of DNA methylation is slowing the development of epigenetic therapy in AML. The long-term goal of this research is to develop effective and well-tolerated AML therapies that incorporate optimally dosed epigenetic modifiers. The objective of this application is to identify DNA methylation biomarkers that can be used to assess the activity of HMAs in AML leukemia stem/progenitor cells (LSPCs). The central hypothesis is that pharmacodynamic biomarkers of HMA activity have greatest clinical/biological relevance when they report efficacy within AML LSPCs. The rationale for the proposed studies is that, once AML-specific DNA methylation abnormalities are discovered, they can be used to assess the pharmacodynamic activity of HMAs in clinical trials designed to optimize the dose and delivery schedule of these agents for the treatment of AML. The hypothesis will be tested by pursuing two specific aims: Aim 1: Identify DNA methylation biomarkers of AML. Aim 2: Determine whether peripheral blood cells can be used as a surrogate tissue to assess decitabine-induced DNA hypomethylation in AML LSPCs. Under the first aim, a proven method for genome-wide analyses of DNA methylation that has already been established to be feasible in the applicants' hands, will be used to identify AML-specific abnormalities in CD34-selected primary, human AML LSPCs when compared to normal hematopoietic cells obtained from healthy donors. The second aim will use previously collected, matched blood and bone marrow specimens obtained from patients with AML prior to and immediately following, several different decitabine administration schedules to identify AML-specific DNA methylation biomarkers suitable for pharmacodynamic monitoring in peripheral blood cells. These results are expected to have a positive impact on the clinical development of current and future DNA hypomethylating agents by providing a long sought after means to assess the biological activity of these agents in vivo. This contribution is significant be- cause it is a necessary first step in a continuum of research that is expected to yield pharmacodynamically tailored dosing of epigenetic modifiers that maximize anti-leukemic activity while minimizing toxicity. The pro- posed research is innovative because it represents a substantial departure from the current standard of measuring DNA methylation at a few convenient genomic loci in mixed cell populations long-after the delivery of a DNA HMA. Ultimately, the proposed genome-wide identification of AML-specific DNA methylation biomarkers in LSPCs and validation of celular surrogates with which to assess pharmacodynamics should permit rapid optimization, and perhaps personalization, of HMA schedules for the treatment of AML.          PUBLIC HEALTH RELEVANCE: The proposed research is relevant to public health because the identification of AML-specific DNA methylation biomarkers for pharmacodynamics is ultimately expected to lead to optimized dosing regimens for DNA hypomethylating agents with reduced toxicity and maximal anti-leukemic activity. This work is consistent with the NIH goal of improving health, with the NCI mission of supporting research to advance the treatment of cancer and is responsive to the FOA in considering of the full array of potentially informative characteristics to trans-late basic science to a clinical application by providing a strong rationae for proposing DNA methylation bio- markers to address a current impediment to the rapid and rational development of hypomethylating agents for the treatment of AML.",pharmacodynamic biomarker
2012,8260536,NS,R01,723903.0,Prospective Neuroimaging in Huntington's Disease,"Program Director/Principal Investigator (Last, First, Middle): Rosas, Herminia Diana Abstract: The most important goal of experimental therapeutics for symptomatic Huntington's disease (HD) is to develop disease-modifying (neuroprotective) therapies able to slow progression. Rapidly advancing basic and translational research has identified numerous potential targets for neuroprotection and treatments based on them are creating an expanding pipeline for clinical trials. However, clinical trials are not close to keeping up with compounds for which there is already some rationale, as well as likelihood of safety and tolerability, and the gap is quickly widening. The development and use of biomarkers in clinical trials for HD have profound potential to increase the rate and accuracy with which compounds, and by implication their targets, can be assessed. Since HD is fundamentally a progressive neurodegenerative disease, neuro-imaging measures hold great promise as direct measures of disease progression that may also provide the necessary sensitivity and specificity to help assess disease modification in Phase II and Phase III clinical trials. During the current funding period, we used state-of-the-art neuro-imaging tools to show that regional brain atrophy in HD is early and progressive, and corresponds to clinical features, including the TFC. We also used these tools as a pharmacodynamic biomarker in a pilot study of high-dose Creatine, a leading candidate neuroprotective agent, in HD subjects. We found that high dose Creatine slowed brain atrophy, reduced measures of oxidative stress, and may have slowed cognitive decline. We are seeking to validate our neuro-imaging tools in a funded placebo-controlled, double-blind Phase III clinical trial of high-dose creatine as a biomarker of disease progression. Should Creatine slow progression and slow brain atrophy, it will be a crucial step in demonstrating the value of neuro-imaging as a pharmacodynamic biomarker of disease modification. PHS 398/2590 (Rev. 11/07) Page Continuation Format Page",pharmacodynamic biomarker
2022,10314024,CA,R01,660532.0,Biomarkers of Sulforaphane/Broccoli Sprout Extract in Prostate Cancer,"ABSTRACT
Scientific Premise and Hypothesis: Chemoprevention using safe and inexpensive phytochemicals from edible
or medicinal plants is appealing for reducing the death and suffering from prostate cancer, which continues to
be a leading cause of cancer-linked mortality among American men. A chemopreventative intervention for
prostate cancer is still lacking. Increased de novo synthesis coupled with Î²-oxidation of fatty acids is a rather
unique and targetable mechanism of human prostate cancer. A role for upregulated de novo fatty acid synthesis
in pathogenesis of prostate cancer is substantiated by studies showing overexpression of mRNA/protein levels
of key fatty acid synthesis enzymes, including ATP citrate lyase (ACLY), acetyl-CoA carboxylase 1 (ACC1),
and/or fatty acid synthase (FASN) in early (prostatic intraepitheilial neoplasia; PIN) as well as advanced
(adenocarcinoma) disease when compared to normal tissue. In addition, genetic or pharmacological suppression
of ACLY, ACC1, and FASN causes inhibition of prostate cancer cell growth in vitro and in vivo. Therefore,
inhibition of synthesis and/or Î²-oxidation of fatty acids represents a promising strategy for chemoprevention of
prostate cancer. The overall goal of this bench-cage-bedside project is to determine the feasibility of fatty acid
metabolism inhibition for chemoprevention of prostate cancer using sulforaphane (SFN), which is the principal
bioactive phytochemical in broccoli sprout extract (BSE). The preclinical studies are conceived to test the
hypothesis that prostate cancer chemoprevention by SFN and BSE in a clinically-relevant transgenic
mouse model (Hi-Myc) is associated with suppression of synthesis as well as Î²-oxidation of fatty acids
leading to inhibition of cancer cell proliferation. A pilot double-blind, randomized, and placebo-controlled
window of opportunity clinical trial in men scheduled for prostatectomy is also proposed to determine whether
daily oral administration of a well-characterized BSE formulation (BroccoMaxÂ®), the safety of which has already
been tested clinically, for 4 weeks leads to suppression of circulating and prostate tumor levels of fatty acids.
Support for the above stated hypothesis derives from our own published and preliminary unpublished findings.
Specifically, we found that SFN treatment not only suppresses protein/mRNA levels of ACC1 and FASN as well
as the dehydrogenases implicated in Î²-oxidation of fatty acids but also decreases acetyl-CoA levels in human
prostate cancer cells in vitro and prostate tumors of TRAMP mice in vivo. Acetyl-CoA is the building block of de
novo fatty acid synthesis but is also generated in the mitochondria upon Î²-oxidation of fatty acids.
Specific Aims: The well-integrated specific aims of this highly-focused application are to: (1) Determine the
mechanism underlying SFN-mediated inhibition of fatty acid synthesis and Î²-oxidation using cellular models of
prostate cancer and normal prostate cells; (2) Determine whether prostate cancer chemoprevention by SFN and
BSE in Hi-Myc transgenic mice is associated with inhibition of fatty acid synthesis and Î²-oxidation; and (3)
Determine whether daily oral BroccoMaxÂ® administration for 4 weeks decreases circulating and prostate tumor
levels of fatty acids through a pilot double-blind, randomized, and placebo-controlled window of opportunity trial
in men scheduled for prostatectomy.
Translational Impact (Significance): Despite wealth of mechanistic data, clinical development of SFN or BSE
like BroccoMaxÂ® for chemoprevention of prostate cancer is contingent upon: (a) demonstration of
chemopreventive efficacy in a clinically-relevant rodent model of prostate cancer; (b) identification of
pharmacodynamic biomarker(s) using cellular and preclinical rodent models of prostate cancer; and (c) pilot
clinical translational studies to demonstrate modulation of the same mechanistic biomarker(s) identified from the
cellular/preclinical models such as suppression of fatty acid metabolism hypothesized in this application. This
stepwise progression of research is essential to justify a larger clinical study with prostate cancer incidence as
the primary end point. The first two specific aims of this project will not only test the possibility of prostate cancer
chemoprevention by SFN and BSE in a transgenic mouse model with strong molecular overlap with the human
disease but will also identify non-invasive pharmacodynamic biomarker(s) (e.g., serum levels of fatty acids)
applicable to the proposed clinical trial in specific aim 3.",pharmacodynamic biomarker
2022,10376769,NS,R01,352188.0,The role of oxidative stress and inflammation in epileptogenesis,"SUMMARY
The large heterogeneity of epileptic syndromes and their underlying pathophysiology represent a particular
challenge to the development of pathway-specific therapies for epilepsy prevention. In many people, epilepsy
is produced by specific brain âinsultsâ, such as trauma, infarcts, or episodes of prolonged status epilepticus
(SE), while in others, epilepsy is a result of a primary genetic abnormality producing either structural or
functional alterations in the developing brain. In all cases, patients are at high risk for developing epilepsy.
Studies in the last decade have contributed to the view that there is an important link between oxidative stress,
inflammation and epilepsy, such that seizures can induce oxidative stress and inflammation, but also that
oxidative stress and enhanced pro-inflammatory signals in the brain contribute to epilepsy progression. Recent
animal and human studies have identified a potential novel target that may be a central component of a
cascade of such processes - the nuclear factor erythroid 2-related factor 2 (Nrf2). This transcription factor
promotes the expression of multiple protective antioxidant and anti-inflammatory proteins. The major objective
of this project is to determine whether dimethyl fumarate (DMF), a Nrf2 inducer that uniquely reduces oxidative
stress and inflammation and is approved for other clinical indications, can prevent epilepsy in two distinct
mouse models of epileptogenesis. To increase the translational potential of our study, we will also determine
whether select systemic biomarkers of oxidative stress and inflammation are able to predict the development of
epilepsy and epilepsy-associated co-morbidities (prognostic biomarkers) and monitor the acute response to
treatment (pharmacodynamic biomarkers). Aim 1 will use long-term video EEG recordings of seizures and
behavioral testing to determine whether DMF, when administered following induction of SE, will reduce the
incidence and severity of epilepsy and reduce the associated behavioral comorbidities. Using
immunohistochemical and biochemical methods, Aim 2 will assess changes in proteins associated with redox
modulation, inflammation and cytokine signaling in the brain and plasma following DMF treatment in the same
model, with the hypothesis that mediators that most strongly associate with disease progression will be more
affected by treatment than the ones that are not. Finally, to examine whether there is more generalizable
applicability of this drug to other epilepsies, in Aim 3 we will determine whether DMF can prevent or delay the
development of epilepsy in a tuberous sclerosis model of epilepsy and cognitive dysfunction.","pharmacodynamic biomarker, prognostic biomarker"
2022,10362519,CA,R01,611419.0,"Phase one clinical trial of a novel small molecule EBNA1 inhibitor, VK-2019, in patients with Epstein- Barr positive nasopharyngeal cancer, with pharmacokinetic and pharmacodynamic correlative studies","Title: Phase one clinical trial of a novel small molecule EBNA1 inhibitor, VK-2019, in patients with Epstein- Barr positive
nasopharyngeal cancer, with pharmacokinetic and pharmacodynamic correlative studies.
7. PROJECT SUMMARY
New therapeutic approaches are needed for cancers associated with Epstein-Barr Virus (EBV). EBV is etiologically
associated with a diverse collection of malignancies, including nasopharyngeal carcinoma (NPC). Only one viral-encoded
protein, EBNA1, is consistently expressed in all known EBV-associated malignancies and is a validated target for inhibition
of EBV-dependent transformation and carcinogenesis.
Investigators at the Wistar Institute have developed VK- 2019, a first-in-class EBNA1 inhibitor as a therapeutic agent,
selecting it from over 2000 candidate inhibitor compounds during the hit-to-lead and lead optimization phases. VK-2019
meets or exceeds industry-accepted criteria for potency, selectivity, metabolic stability, drug suitability, drug safety,
toxicology and bioavailability. VK-2019 inhibits EBNA1 in biochemical assays with nanomolar potency and disrupts EBNA1
binding in vivo in several cell-based assays. VK-2019 causes significant tumor growth protection in 4 different xenograft
models of EBV-driven tumor progression, including 2 tumor lines derived from NPC patients. VK-2019âs in vivo target
engagement and preclinical pharmacokinetic profiles have both been robustly evaluated. Range Finding (RF) and
Maximum Tolerated Dose (MTD) studies in rat and dog have demonstrated an exceptionally favorable safety profile with
a therapeutic index of >87:1. All of the IND-enabling studies including GLP 28-day toxicology and safety pharmacology
studies have been completed. 1.9 kg of cGMP grade VK- 2019 is available and is being formulated into capsules for use
in this study. Wistar staff have held a successful pre-IND meeting with the FDA and are preparing for an IND submission
in April 2018 to facilitate a Phase I first-in-human clinical trial.
The purpose of this grant is to fund the phase 1 clinical trial of VK- 2019 in patients with NPC.
The phase I study will enroll patients with metastatic or recurrent nasopharyngeal carcinoma (NPC) for the following
reasons: 1. Almost all NPC is EBV positive; 2.There is an unmet medical need as current treatments are both toxic and of
limited efficacy. 3. Clinically relevant biomarkers for NPC are available that have relevance for the predicted mechanism
of action of VK-2019. 4. Plasma EBV DNA levels of NPC patients correlate with prognosis and disease progression so can
be used as efficacy biomarkers EBNA1 inhibitors.
The proposed trial is designed to look at the safety and tolerability of VK-2019. A Simon 4b accelerated titration design
of up to 40 patients treated with daily oral VK- 2019 is planned at the Stanford Cancer Institute (SCI), a NCI comprehensive
cancer center and NPC referral center. The primary outcomes will be determination of the pharmacokinetics and
pharmacodynamics of VK-2019, Dose Limiting Toxicity (DLT) and Recommended Phase 2 Dose (RP2D) in patients with
advanced NPC. Important additional endpoints include biomarker and tumor EBNA 1 inhibition effect studies. Clinical trial
infrastructure necessary for the conduct of this study is already in place at the SCI. This clinical trial will provide critical
information on the safety, tolerability and preliminary efficacy of VK-2019 in order to ask whether development of the
agent as a cancer treatment should continue.",efficacy biomarker
2012,8228086,CA,R01,486646.0,Molecular Mechanisms of Chemoprevention:  NRF2 Signaling,"DESCRIPTION (provided by applicant): Cancer prevention involving reduction or elimination of human exposure to environmental carcinogens may not always be possible. Inhibition of the development of cancer by the administration of anticarcinogenic agents may offer practical alternatives for reducing human cancer burden. However, the successful utilization of chemopreventive interventions will require solid mechanistic understanding of the action(s) of these agents. We have identified the Keap1-Nrf2-ARE signaling pathway as a target for chemoprevention. The Nrf2 transcription factor regulates an integrated cell survival response that can be triggered by multiple classes of cancer chemopreventive agents (e.g., dithiolethiones, isothiocyanates, triterpenoids). In this project, we will use both pharmacologic and genetic approaches to further probe the molecular mechanisms of action of these chemopreventive agents, assess their efficacy in animal models with close relevance to human carcinogenesis and use these interventions to validate intermediate biomarkers. With a continuing focus on the roles of infection with hepatitis B virus and co-exposure to the fungal toxin aflatoxin on human risk for hepatocellular carcinoma, we will purse three aims. First, we will utilize advanced methods of isotope-dilution mass spectrometry for the quantitation of aflatoxin biomarkers in liver, blood, urine and feces in order to develop for the first time a comprehensive mass balance for the fate of the ultimate carcinogen, exo-aflatoxin-epoxide, in rats. The predictive value of these biomarkers for individual risk of liver cancer will be assessed. Biomarkers will be quantified longitudinally during a bioassay for protection against hepatocarcinogenesis by the exceptionally potent triterpenoid activator of Nrf2 signaling, CDDO-Im. We will also evaluate the predictive value of monitoring DNA circulating in plasma for mutations in target oncogenes using quantitative short oligonucleotide mass spectrometry. In the second aim, we will evaluate the similarities and distinctions of chemical class, species and genetic activation of Keap1-Nrf2 signaling by comparing the gene expression patterns in rat and mouse liver following treatment with lead compounds of 3 different chemical classes of Nrf2 activators at doses equi-effective for inhibition of aflatoxin-induced preneoplastic lesions and by comparing the gene expression patterns in liver of mice in which either Nrf2 or its repressor Keap1 have been genetically disrupted. The impact of these genetic and pharmacologic interventions on aflatoxin disposition will be determined using the mass spectrometry-based analysis of its biomarkers. Third, we will capitalize on our novel observation that Nrf2 signaling influences tissue regeneration and repair by examining the post initiation effects of triterpenoids during aflatoxin-induced hepatocarcinogenesis in the rat and in a murine model recapitulating major human risk factors for HCC, namely, aflatoxin exposure and infection with HBV. Collectively, these studies will further the goal of effectively using activators of Nrf2 signaling as protective agents in human populations exposed to environmental toxicants.      PUBLIC HEALTH RELEVANCE: Cancer prevention involving reduction or elimination of human exposure to environmental carcinogens may not always be possible. The overriding goal of our work remains to provide the mechanistic framework to facilitate the efficient translation of the most effective of the small molecule activators of Nrf2 signaling into use as protective agents in human populations exposed to environmental toxicants such as aflatoxins. To facilitate this goal we need better understanding of the molecular mechanisms of action of our chemopreventive agents, further validation of intermediate biomarkers, and assessment of efficacy in animal models with close relevance to human carcinogenesis.",intermediate biomarker
2022,10424498,CA,R01,10124.0,Phase II Clinical trial of GTC in Men on Active Surveillance,"Abstract:
The era of screening for prostate cancer (PCa) using serum prostate specific antigen (PSA) has led to an
increase in the detection of low-grade prostate cancers that pose little risk of either metastatic spread or death.
Additionally, these men may be now exposed to morbidities of over treatment with little or no benefit of
cancer-specific survival. Active surveillance (AS) has thus evolved as a recommended management strategy for
men with low grade disease, providing the benefit of an individualized approach of carefully monitoring
disease progression, sufficient to permit timely therapeutic intervention. However, concerns about under-
grading, variations in criteria for AS eligibility, patient reported anxiety, depression, doubts about the possible
progression of the disease as well as higher decisional conflict regarding selection of AS, men on AS have been
reported to ultimately opt for treatment without any major change in tumor characteristics. On the other hand,
men on AS are a subgroup, who are highly motivated and eager to make positive lifestyle
changes to further reduce their risk of PCa progression- providing an opportunity for
chemoprevention. Chemoprevention strategies with 5-alpha-reductase inhibitors significantly reduced the
risk of prostate cancer progression. However their use was also associated with increased detection of high-
grade disease, severely limiting their clinical adoption. Currently, there is a paucity of research that
systematically examines agents for chemoprevention in men on AS. Green tea catechins (GTC)
influence several hallmarks of carcinogenesis, including prostate carcinogenesis, with an acceptable safety
profile, making them attractive candidates for PCa chemoprevention. Several epidemiological, in vitro,
preclinical and early phase trials completed by our team and others have shown that the GTC are potent
inhibitors of PCa carcinogenesis through multiple mechanisms, bioavailable in tissue and plasma, reduces
several intermediate biomarkers implicated in PCa progression and without toxicities at these doses. Based on
the available evidence, we hypothesize that men with biopsy proven adenocarcinoma of the prostate who
meet the criteria for AS, who receive GTC at a dose of 800 mg EGCG per day (vs. placebo) for 24 months, will
have a significantly decreased rate of clinical progression. We will test this hypothesis using a rigorous
experimental design in a phase II, randomized clinical trial to evaluate the safety, effectiveness and
potential mechanism by which GTC modulates clinical progression and the related biological biomarkers
relevant to PCa progression in men on AS for PCa. Positive results from this study will be critical
to inform development a phase III clinical trial and ultimately provide a strategy for secondary chemoprevention
in men on AS, for whom, currently, there are no options for reducing risk of progression to PCa.",intermediate biomarker
2022,10591306,NS,RF1,2274447.0,"Air Pollution, Metabolome, and Alzheimer disease in Mexican Americans","PROJECT ABSTRACT
Air pollution is increasingly recognized as an important risk factor for cognitive impairment (CI) and Alzheimerâs
and related dementias (ADRD). To gain insights into the biologic processes which link air pollution exposure and
ADRD in humans during aging, we propose an integrative longitudinal metabolomics approach in a large
population-based cohort of Mexican-Americans relying on real-life, long-term air pollution exposures for which
we established links with ADRD. Metabolomics can provide a map of exposure and disease-related perturbations
across interconnected biological pathways. It is especially useful in gaining understanding of disease processes
when repeated biosamples are available before diagnosis to provide novel information about initiation and
progression of cognitive impairment and ADRD. Specifically, we propose to use untargeted and targeted
metabolomics to further mechanistic understanding of long-term exposures to air pollution and CI/ADRD in an
elderly population of Mexican Americans from the âSacramento Area Latino Study on Agingâ (SALSA), taking
advantage of 5689 existing blood samples from 1,789 Latino participants followed over 10 years, screened for
cognitive function (7,696 repeated cognitive exams), and tested with multi-domain neuro-psychological batteries,
clinical and MRI assessments for dementia adjudication. Latino minority populations suffer disparities in
exposures and a high prevalence of comorbid risk factors, such as diabetes. We have already observed strong
associations for air pollution exposure with incident ADRD. Previously, we conducted an air monitoring campaign
and combined this with routine monitoring data, land use, emissions, traffic data, and meteorology to generate
air pollution exposures for SALSA participants (R01ES023451 mPIs: Ritz/Haan). Here, we will collaborate with
Dr. Jones at Emory who directs a Center that developed cutting edge high-performance metabolic profiling
methods. We will employ these unique resources to identify molecular mechanisms of air pollution and CI/ADRD
in Latinos longitudinally, to show how the metabolome is changing as cognition declines and CI/ADRD develops,
how air pollution exposure changes the metabolome over follow-up, and how vulnerability or resilience
contributes to the process of developing dementia. We will also evaluate the influence of air pollution on
intermediate biomarkers previously linked to CI/ADRD, including inflammatory, metabolic, and antioxidant
markers (TNF-a, IL6, CRP etc.). Finally, we will study how known ADRD risk factors such as APOE4, diabetes,
physical activity, or gender affect air pollution related metabolomic profiles using repeated measures and multi-
level clustering to generate insight into the multifactorial etiologies of CI/ADRD. We also propose to conduct
replication analyses using existing metabolomics from the same platform, air pollution and cognitive assessment
data in 277 elderly Central Californians. This study will improve our understanding of mechanisms of air pollution
toxicity related to CI/ADRD, such pathways may provide actionable and treatable targets. It will also help find
evidence-based biomarkers for those most at risk and support causality and suggest mitigation approaches.",intermediate biomarker
2022,10432062,AG,R01,758000.0,Mechanisms of the signaling metabolite β-hydroxybutyrate in Alzheimer's disease and the aging brain,"PROJECT SUMMARY
 Signaling metabolites are small molecules with routine functions in cellular energy metabolism that also
act as signals to regulate diverse cellular pathways in response to a changing energy state. Signaling metabolites
link nutrition to aging. Many of the emerging geroscience therapies that target mechanisms of aging have come
from the discovery and understanding of signaling metabolites. The ketone body Î²-hydroxybutyrate (BHB) is a
new signaling metabolite. It is produced during fasting, dietary restriction, exercise, or carbohydrate restriction
to keep the body's tissues supplied with energy when glucose is scarce. We now have growing evidence that it
also functions as a signal, by inhibiting enzymes, binding directly to proteins as a post-translational modification,
and activating receptors. Through its signaling activities, BHB regulates gene expression, inflammation,
metabolism, senescence, and other cellular activities important to both aging and Alzheimer's disease (AD).
 We recently showed for the first time that ketogenic diet (KD), which stimulates endogenous production
of BHB similar to fasting, improves survival in aging mice and prevents age-related declines in memory. We also
found that KD improves memory in the hAPPJ20 AD mouse model, and reduces abnormal epileptiform
discharges that contribute to memory decline. KD is a complex intervention, and though it is now being studied
in clinical trials of AD, a better understanding of which aspects of KD are most helpful should lead to better
targeted and more effective therapies. We have successfully developed an innovative toolset of dietary,
chemical, and genetic tools to isolate the individual components of KD, including carbohydrate restriction, BHB,
energy provision by BHB, and cellular signaling activities of BHB. We will use these tools to uncover the specific
mechanisms by which BHB improves memory in normal aging and in AD mice (Aim 1), and reduces epileptiform
discharges in AD mice (Aim 2). We will characterize key molecular changes that BHB causes in the proteomic
landscape of the brain, including mapping the acetylome and new BHBylome (Aim 3).
 This project combines expertise in both geroscience and AD with a deep understanding of BHB biology
to carry out closely aligned mechanistic studies using both aging and AD models. It examines the intersection of
a molecular mechanism that is broadly relevant to aging (ketone bodies as metabolic signals) with one highly
specific to AD (aberrant epilepsy-like network hypersynchrony). It is highly likely to stimulate further progress on
AD because the mechanistic framework it generates will directly inform translational studies involving ketone
body compounds and ketogenic diets. These data will help establish criteria for designing effective interventions,
provide relevant intermediate biomarkers, and permit deeper investigation into the downstream molecular targets
most relevant to AD.",intermediate biomarker
2012,8232114,CA,R01,262459.0,Molecular Approaches to Early Detection of Lung Cancer,"DESCRIPTION (provided by applicant): From initiation to promotion and to the development of an invasive phenotype, a series of molecular changes contribute to those aberrations and puts the entire airway epithelium of smokers at a greater risk for lung cancer. Our central hypothesis is that a subset of specific molecular aberrations discovered in pre-invasive lesions and from the airway epithelium of high-risk individuals is directly involved in the development of lung cancer, and that derivation of a signature composed of these functionally significant alterations in at-risk individuals will represent a powerful biomarker for risk as well as an intermediate endpoint biomarker of response to chemoprevention therapy. To test this hypothesis, we propose to use two separate approaches to interrogate the field of carcinogenesis. In aim 1 we will study the biological relevance of candidate biomarkers derived from the analysis of preinvasive lesions obtained in the current cycle of funding. In aim 2 we will refine a gene expression signature derived from the bronchial epithelial cells from the large airways by stratifying the population further and integrating data from state of the art genomic and proteomic analyses in specimens obtained from the same individuals. In aim 3, we will test the candidates from aims 1 and 2 in preinvasive lesions from bronchial epithelial cells for risk assessment and as intermediate endpoint biomarkers of chemoprevention therapy. The studies proposed are highly novel in their focus on functionally relevant biomarkers, the testing for biomarkers that track with the disease risk, and the application of multiple cutting edge technologies. These studies will further our understanding of the functional role of our candidate biomarkers in lung cancer development, refine a molecular signature of risk in large airway epithelial cells and test those in high-risk cohorts for new molecular diagnostic and intermediate endpoint biomarker of response to chemoprevention.      PUBLIC HEALTH RELEVANCE: Molecular strategies are being tested to determine whether it improves the assessment of risk for lung cancer. We hypothesize that a subset of molecular aberrations in the airways of high risk individuals are involved in the development of lung cancer, and that such aberrations will represent a powerful biomarker for risk as well as an intermediate endpoint biomarker of response to chemoprevention therapy.",intermediate endpoint
